company_id: emni
company_name: 이엠앤아이
doc_title: 2024_재무_OFS.json
source_url: https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001534
file_url: colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_재무/2024_재무_OFS.json
schema: dart_financial_statement
local_path: C:\Users\nguye\Downloads\data-company\dataset-excel\output_restart_emni_20260617\output_restart_emni_20260617\이엠앤아이_일반자료_20260617\02_재무_신용\DART_재무\2024_재무_OFS.json

# DART financial statement (2024_재무_OFS.json, year=2024)

## 재무상태표
- statement=포괄손익계산서 | account=기타포괄손익 | account_id=ifrs-full_OtherComprehensiveIncome | 제 26 기=-291212386 KRW | 제 25 기=-339521215 KRW | 제 24 기=33,997,775 KRW
- statement=포괄손익계산서 | account=당기손익으로 재분류되는 포괄손익 | account_id=ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax | 제 26 기=-306829134 KRW | 제 25 기=-86971143 KRW | 제 24 기=15,931,195 KRW
- statement=포괄손익계산서 | account=해외사업환산손실 | account_id=ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax | 제 26 기=-306829134 KRW | 제 25 기=-86971143 KRW | 제 24 기=15,931,195 KRW
- statement=포괄손익계산서 | account=후속적으로 당기손익으로 재분류 되지 않는 항목 | account_id=ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax | 제 26 기=15,616,748 KRW | 제 25 기=-252550072 KRW | 제 24 기=18,066,580 KRW
- statement=포괄손익계산서 | account=확정급여제도 재측정요소 | account_id=ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans | 제 26 기=15,616,748 KRW | 제 25 기=-252550072 KRW | 제 24 기=18,066,580 KRW
- statement=포괄손익계산서 | account=당기순이익(손실) | account_id=ifrs-full_ProfitLoss | 제 26 기=1,487,148,638 KRW | 제 25 기=-386667305 KRW | 제 24 기=-122437316 KRW
- statement=포괄손익계산서 | account=법인세비용차감전순이익(손실) | account_id=ifrs-full_ProfitLossBeforeTax | 제 26 기=1,818,215,164 KRW | 제 25 기=974,619,143 KRW | 제 24 기=-94918968 KRW
- statement=포괄손익계산서 | account=계속영업이익(손실) | account_id=ifrs-full_ProfitLossFromContinuingOperations | 제 26 기=1,818,215,164 KRW | 제 25 기=974,619,143 KRW | 제 24 기=-91892601 KRW
- statement=포괄손익계산서 | account=중단영업이익(손실) | account_id=ifrs-full_ProfitLossFromDiscontinuedOperations | 제 26 기=-331066526 KRW | 제 25 기=-1361286448 KRW | 제 24 기=-30544715 KRW
- statement=포괄손익계산서 | account=수익(매출액) | account_id=ifrs-full_Revenue | 제 26 기=29,699,055,105 KRW | 제 25 기=24,528,932,896 KRW | 제 24 기=34,472,979,660 KRW

## 현금흐름표
- statement=현금흐름표 | account=기초현금및현금성자산 | account_id=dart_CashAndCashEquivalentsAtBeginningOfPeriodCf | 제 26 기=7,190,247,828 KRW | 제 25 기=5,840,564,201 KRW | 제 24 기=4,173,426,067 KRW
- statement=현금흐름표 | account=기말현금및현금성자산 | account_id=dart_CashAndCashEquivalentsAtEndOfPeriodCf | 제 26 기=7,712,485,910 KRW | 제 25 기=7,190,247,828 KRW | 제 24 기=5,840,564,201 KRW
- statement=현금흐름표 | account=재무활동현금흐름 | account_id=ifrs-full_CashFlowsFromUsedInFinancingActivities | 제 26 기=1,212,747,173 KRW | 제 25 기=3,891,798,226 KRW | 제 24 기=1,069,451,543 KRW
- statement=현금흐름표 | account=임대보증금의 증가(감소) | account_id=dart_IncreaseInGuaranteeDepositsAsFinancialActivities | 제 26 기=-55015200 KRW | 제 25 기=148,690,000 KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=리스부채의 상환 | account_id=dart_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities | 제 26 기=223,305,387 KRW | 제 25 기=313,288,514 KRW | 제 24 기=376,205,087 KRW
- statement=현금흐름표 | account=신주인수권부사채의 발행 | account_id=dart_ProceedsFromBondWithWarrant | 제 26 기=- KRW | 제 25 기=3,067,741,760 KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=전환사채의 발행 | account_id=dart_ProceedsFromConvertibleBonds | 제 26 기=1,491,067,760 KRW | 제 25 기=- KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=전환사채의 상환 | account_id=dart_RepaymentsOfConvertibleBonds | 제 26 기=- KRW | 제 25 기=11,333,520 KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=단기차입금의 상환 | account_id=dart_RepaymentsOfShortTermBorrowings | 제 26 기=- KRW | 제 25 기=- KRW | 제 24 기=95,785,000 KRW
- statement=현금흐름표 | account=유상증자 | account_id=-표준계정코드 미사용- | 제 26 기=- KRW | 제 25 기=999,988,500 KRW | 제 24 기=1,560,000,000 KRW
- statement=현금흐름표 | account=주식발행비용 | account_id=ifrs-full_ProceedsFromIssuingShares | 제 26 기=- KRW | 제 25 기=- KRW | 제 24 기=-18558370 KRW
- statement=현금흐름표 | account=투자활동현금흐름 | account_id=ifrs-full_CashFlowsFromUsedInInvestingActivities | 제 26 기=-1844496830 KRW | 제 25 기=-1168962494 KRW | 제 24 기=-1224451150 KRW
- statement=현금흐름표 | account=보증금의 감소 | account_id=dart_DecreaseInGuaranteeDeposits | 제 26 기=20,000,000 KRW | 제 25 기=300,000 KRW | 제 24 기=21,000,000 KRW
- statement=현금흐름표 | account=종속기업투자주식처분 | account_id=dart_GainsOnSaleOfInvestmentsInSubsidiaries | 제 26 기=99,611,111 KRW | 제 25 기=- KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=보증금의 증가 | account_id=dart_IncreaseInGuaranteeDeposits | 제 26 기=47,135,400 KRW | 제 25 기=63,710,000 KRW | 제 24 기=124,871,865 KRW
- statement=현금흐름표 | account=공구와기구의 처분 | account_id=dart_ProceedsFromSalesOfFixturesAndFittings | 제 26 기=4,847,718 KRW | 제 25 기=- KRW | 제 24 기=5,871,452 KRW
- statement=현금흐름표 | account=기계장치의 처분 | account_id=dart_ProceedsFromSalesOfMachinery | 제 26 기=62,666,236 KRW | 제 25 기=- KRW | 제 24 기=326,335,300 KRW
- statement=현금흐름표 | account=매각예정비유동자산의 처분 | account_id=dart_ProceedsFromSalesOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners | 제 26 기=- KRW | 제 25 기=200,000,000 KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=비품의 처분 | account_id=dart_ProceedsFromSalesOfOfficeEquipment | 제 26 기=167,434 KRW | 제 25 기=- KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=단기금융상품의 감소 | account_id=dart_ProceedsFromSalesOfShortTermFinancialInstruments | 제 26 기=- KRW | 제 25 기=3,000,000,000 KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=단기대여금의 감소 | account_id=dart_ProceedsFromSalesOfShortTermLoansAndReceivables | 제 26 기=700,939,538 KRW | 제 25 기=134,685,024 KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=시설장치의 처분 | account_id=dart_ProceedsFromSalesOfStructure | 제 26 기=- KRW | 제 25 기=- KRW | 제 24 기=600,000 KRW
- statement=현금흐름표 | account=건물의 취득 | account_id=dart_PurchaseOfBuildings | 제 26 기=908,916,673 KRW | 제 25 기=- KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=소프트웨어의 취득 | account_id=dart_PurchaseOfComputerSoftware | 제 26 기=120,000,000 KRW | 제 25 기=- KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=건설중인자산의 취득 | account_id=dart_PurchaseOfConstructionInProgress | 제 26 기=156,050,000 KRW | 제 25 기=415,870,820 KRW | 제 24 기=311,492,809 KRW
- statement=현금흐름표 | account=산업재산권의 취득 | account_id=dart_PurchaseOfCopyrightsPatentsAndOtherIndustrialPropertyRightsServiceAndOperatingRights | 제 26 기=3,276,400 KRW | 제 25 기=- KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=당기손익인식금융자산의 취득 | account_id=dart_PurchaseOfFairValueFinancialAsset | 제 26 기=- KRW | 제 25 기=1,100,000,000 KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=공구와기구의 취득 | account_id=dart_PurchaseOfFixturesAndFittings | 제 26 기=- KRW | 제 25 기=- KRW | 제 24 기=13,743,167 KRW
- statement=현금흐름표 | account=토지의 취득 | account_id=dart_PurchaseOfLand | 제 26 기=271,936,927 KRW | 제 25 기=-170810089 KRW | 제 24 기=- KRW
- statement=현금흐름표 | account=기계장치의 취득 | account_id=dart_PurchaseOfMachinery | 제 26 기=201,950,000 KRW | 제 25 기=615,652,233 KRW | 제 24 기=532,771,229 KRW
- statement=현금흐름표 | account=비품의 취득 | account_id=dart_PurchaseOfOfficeEquipment | 제 26 기=5,500,000 KRW | 제 25 기=42,221,090 KRW | 제 24 기=29,502,727 KRW
- statement=현금흐름표 | account=단기금융상품의 증가 | account_id=dart_PurchaseOfShortTermFinancialInstruments | 제 26 기=- KRW | 제 25 기=- KRW | 제 24 기=1,000,000,000 KRW
- statement=현금흐름표 | account=단기대여금의 증가 | account_id=dart_PurchaseOfShortTermLoansAndReceivables | 제 26 기=987,700,915 KRW | 제 25 기=670,000,000 KRW | 제 24 기=- KRW
