company_id: emni
company_name: 이엠앤아이
doc_title: 2023_재무_CFS.json
source_url: 
file_url: colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_재무/2023_재무_CFS.json
schema: dart_financial_statement
local_path: C:\Users\nguye\Downloads\data-company\dataset-excel\output_restart_emni_20260617\output_restart_emni_20260617\이엠앤아이_일반자료_20260617\02_재무_신용\DART_재무\2023_재무_CFS.json

# DART financial statement (2023_재무_CFS.json, year=2023)

## 재무상태표
- statement=포괄손익계산서 | account=해외사업장환산외환차이(세후기타포괄손익) | account_id=ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax | 제 25 기=-86971143 KRW | 제 24 기=15,931,195 KRW | 제 23 기=319,134,991 KRW
- statement=포괄손익계산서 | account=당기손익으로 재분류되지 않는항목(세후기타포괄손익) | account_id=ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax | 제 25 기=-252550072 KRW | 제 24 기=18,066,580 KRW | 제 23 기=41,989,916 KRW
- statement=포괄손익계산서 | account=확정급여제도의 재측정손익(세후기타포괄손익) | account_id=ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans | 제 25 기=-252550072 KRW | 제 24 기=18,066,580 KRW | 제 23 기=41,989,916 KRW
- statement=포괄손익계산서 | account=당기순이익(손실) | account_id=ifrs-full_ProfitLoss | 제 25 기=-386667305 KRW | 제 24 기=-122437316 KRW | 제 23 기=-1568386424 KRW
- statement=포괄손익계산서 | account=지배기업의소유주지분 | account_id=-표준계정코드 미사용- | 제 25 기=-386667305 KRW | 제 24 기=-122437316 KRW | 제 23 기=-1568386424 KRW
- statement=포괄손익계산서 | account=법인세비용차감전순이익(손실) | account_id=ifrs-full_ProfitLossBeforeTax | 제 25 기=-386667305 KRW | 제 24 기=-94918968 KRW | 제 23 기=-1014459052 KRW
- statement=포괄손익계산서 | account=계속영업이익(손실) | account_id=ifrs-full_ProfitLossFromContinuingOperations | 제 25 기=-386667305 KRW | 제 24 기=-91892601 KRW | 제 23 기=-1020194369 KRW
- statement=포괄손익계산서 | account=중단영업이익(손실) | account_id=ifrs-full_ProfitLossFromDiscontinuedOperations | 제 25 기=- KRW | 제 24 기=-30544715 KRW | 제 23 기=-548192055 KRW
- statement=포괄손익계산서 | account=수익(매출액) | account_id=ifrs-full_Revenue | 제 25 기=26,311,911,772 KRW | 제 24 기=34,472,979,660 KRW | 제 23 기=24,059,028,591 KRW

## 현금흐름표
- statement=현금흐름표 | account=기초현금및현금성자산 | account_id=dart_CashAndCashEquivalentsAtBeginningOfPeriodCf | 제 25 기=5,840,564,201 KRW | 제 24 기=4,173,426,067 KRW | 제 23 기=1,646,369,673 KRW
- statement=현금흐름표 | account=기말현금및현금성자산 | account_id=dart_CashAndCashEquivalentsAtEndOfPeriodCf | 제 25 기=7,190,247,828 KRW | 제 24 기=5,840,564,201 KRW | 제 23 기=4,173,426,067 KRW
- statement=현금흐름표 | account=외화환산으로인한 현금의 변동 | account_id=-표준계정코드 미사용- | 제 25 기=19,746,419 KRW | 제 24 기=-232656680 KRW | 제 23 기=47,724,921 KRW
- statement=현금흐름표 | account=재무활동현금흐름 | account_id=ifrs-full_CashFlowsFromUsedInFinancingActivities | 제 25 기=3,891,798,226 KRW | 제 24 기=1,069,451,543 KRW | 제 23 기=2,083,758,827 KRW
- statement=현금흐름표 | account=자기주식의 취득으로 인한 현금의 유출 | account_id=dart_AcquisitionOfTreasuryShares | 제 25 기=- KRW | 제 24 기=- KRW | 제 23 기=3,904,405 KRW
- statement=현금흐름표 | account=임대보증금의 증가 | account_id=dart_IncreaseInGuaranteeDepositsAsFinancialActivities | 제 25 기=148,690,000 KRW | 제 24 기=- KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=신주인수권부사채의 증가 | account_id=dart_ProceedsFromBondWithWarrant | 제 25 기=3,067,741,760 KRW | 제 24 기=- KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=단기차입금의 증가 | account_id=dart_ProceedsFromShortTermBorrowings | 제 25 기=- KRW | 제 24 기=- KRW | 제 23 기=88,715,000 KRW
- statement=현금흐름표 | account=단기차입금의 상환 | account_id=dart_RepaymentsOfShortTermBorrowings | 제 25 기=- KRW | 제 24 기=95,785,000 KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=리스부채의 상환 | account_id=-표준계정코드 미사용- | 제 25 기=313,288,514 KRW | 제 24 기=376,205,087 KRW | 제 23 기=452,938,392 KRW
- statement=현금흐름표 | account=유상증자 | account_id=-표준계정코드 미사용- | 제 25 기=999,988,500 KRW | 제 24 기=1,560,000,000 KRW | 제 23 기=2,500,000,000 KRW
- statement=현금흐름표 | account=전환사채의상환 | account_id=-표준계정코드 미사용- | 제 25 기=11,333,520 KRW | 제 24 기=- KRW | 제 23 기=25,817,136 KRW
- statement=현금흐름표 | account=주식발행비용 | account_id=-표준계정코드 미사용- | 제 25 기=- KRW | 제 24 기=18,558,370 KRW | 제 23 기=22,296,240 KRW
- statement=현금흐름표 | account=투자활동현금흐름 | account_id=ifrs-full_CashFlowsFromUsedInInvestingActivities | 제 25 기=-1168962494 KRW | 제 24 기=-1224451150 KRW | 제 23 기=-2007050008 KRW
- statement=현금흐름표 | account=임차보증금의 감소 | account_id=dart_DecreaseInGuaranteeDeposits | 제 25 기=300,000 KRW | 제 24 기=21,000,000 KRW | 제 23 기=22,171,723 KRW
